district,lat,lon,ph,organic_matter_pct,total_nitrogen_pct,p2o5_kgha,potassium_kgha,zinc_ppm,boron_ppm,sand_pct,clay_pct,silt_pct,parent_soil,error
Bhaktapur,27.671,85.4298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chitwan,27.5291,84.3542,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dhading,27.8687,84.8988,6.04 ,3.29 %,0.25 %,58.88 kg/ha,174.85 kg/ha,1.49 ppm,1.14 ppm,33.46 %,27.36 %,41.09 %,Quartzite,
Dolakha,27.7818,86.0694,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kathmandu,27.7172,85.324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kavrepalanchok,27.5332,85.5539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lalitpur,27.6644,85.3188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Makwanpur,27.4287,85.0323,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nuwakot,27.9137,85.1667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ramechhap,27.3276,86.088,6.02 ,3.01 %,0.14 %,77.55 kg/ha,264.7 kg/ha,1.45 ppm,1.06 ppm,39.84 %,14.39 %,45.25 %,"slate, phyllite",
Rasuwa,28.1102,85.2891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sindhuli,27.2514,85.9721,5.88 ,3.04 %,0.11 %,56.9 kg/ha,280.45 kg/ha,1.37 ppm,1.07 ppm,38.83 %,11.39 %,48.71 %,Quartzite,
Sindhupalchok,27.9528,85.6888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Baglung,28.2713,83.59,5.76 ,3.01 %,0.16 %,109.53 kg/ha,245.88 kg/ha,1.91 ppm,0.33 ppm,34.95 %,13.9 %,48.47 %,Quartzite,
Gorkha,28.0003,84.6294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kaski,28.2096,83.9856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lamjung,28.2298,84.4121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Manang,28.601,84.2384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mustang,28.7917,83.7381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Myagdi,28.3421,83.5658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nawalpur,27.6366,84.095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Parbat,28.2268,83.6874,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Syangja,28.0963,83.8767,6.04 ,3.03 %,0.15 %,89.47 kg/ha,227.31 kg/ha,1.84 ppm,0.73 ppm,38.54 %,14.9 %,48.71 %,"slate, phyllite",
Tanahu,27.9868,84.2825,5.89 ,2.41 %,0.16 %,36.59 kg/ha,231.41 kg/ha,1.48 ppm,0.97 ppm,40.93 %,15.65 %,44.91 %,Quartzite,
Arghakhanchi,27.9731,83.0805,6.41 ,2.87 %,0.12 %,141.28 kg/ha,430.87 kg/ha,1.97 ppm,0.78 ppm,49.98 %,11.8 %,37.33 %,Quartzite,
Banke,28.1189,81.6703,6.7 ,3.21 %,0.17 %,208.49 kg/ha,181.63 kg/ha,0.67 ppm,0.14 ppm,38.56 %,28.24 %,32.1 %,Fluvial non calcareous,
Bardiya,28.3181,81.3533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dang,28.0469,82.3831,6.56 ,1.83 %,0.09 %,148.26 kg/ha,556.22 kg/ha,0.75 ppm,0.95 ppm,44.03 %,21.71 %,37.78 %,"Lacustrine, non calcareous",
Eastern Rukum,28.6256,82.6393,6.29 ,2.94 %,0.14 %,179.64 kg/ha,611.72 kg/ha,2.1 ppm,0.69 ppm,50.26 %,10.59 %,38.07 %,"Gneiss, migmatite",
Gulmi,28.07,83.25,6.41 ,2.87 %,0.13 %,174.56 kg/ha,255.83 kg/ha,1.87 ppm,0.87 ppm,38.33 %,10.66 %,53.32 %,"slate, phyllite",
Kapilvastu,27.5516,83.0506,7.09 ,1.85 %,0.1 %,74.53 kg/ha,206.85 kg/ha,0.19 ppm,5.42 ppm,27.03 %,16.01 %,58.11 %,Fluvial non calcareous,
Palpa,27.8644,83.5484,6.62 ,3.18 %,0.15 %,105.39 kg/ha,282.45 kg/ha,2.11 ppm,0.78 ppm,42.32 %,13.46 %,41.93 %,"slate, phyllite",
Parasi,27.5288,83.6698,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pyuthan,28.097,82.8687,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rolpa,28.309,82.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rupandehi,27.5023,83.4502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dailekh,28.8396,81.7061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dolpa,28.9868,82.8872,6.74 ,4.56 %,0.25 %,177.07 kg/ha,481.43 kg/ha,1.75 ppm,0.3 ppm,56.03 %,12.27 %,31.09 %,"Gneiss, migmatite",
Humla,29.9678,81.8288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jajarkot,28.7042,82.1969,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jumla,29.2748,82.1838,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kalikot,29.1417,81.6186,6.22 ,3.01 %,0.15 %,40.26 kg/ha,444.19 kg/ha,1.4 ppm,0.89 ppm,65.54 %,10.22 %,25.49 %,"Gneiss, migmatite",
Mugu,29.5312,82.1691,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Salyan,28.3732,82.1601,6.45 ,2.94 %,0.13 %,197.45 kg/ha,331.82 kg/ha,0.75 ppm,0.69 ppm,48.17 %,17.7 %,31.7 %,"slate, phyllite",
Surkhet,28.5983,81.6338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Western Rukum,28.6366,82.4764,6.57 ,5.0 %,0.25 %,90.75 kg/ha,521.65 kg/ha,1.39 ppm,0.8 ppm,49.85 %,17.34 %,32.12 %,"slate, phyllite",
Baitadi,29.5315,80.548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bajhang,29.5583,81.2003,6.16 ,4.13 %,0.22 %,28.28 kg/ha,254.78 kg/ha,2.07 ppm,0.66 ppm,43.53 %,30.87 %,23.53 %,"Gneiss, migmatite",
Bajura,29.5297,81.554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dadeldhura,29.3013,80.5843,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darchula,29.8436,80.548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Doti,29.2635,80.9856,6.43 ,2.37 %,0.13 %,53.44 kg/ha,321.34 kg/ha,1.68 ppm,0.85 ppm,58.59 %,16.68 %,23.24 %,"slate, phyllite",
Kailali,28.6852,80.8808,7.28 ,1.91 %,0.1 %,56.32 kg/ha,209.78 kg/ha,0.63 ppm,1.15 ppm,29.12 %,19.77 %,52.55 %,Fluvial non calcareous,
Kanchanpur,28.871,80.3381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Achham,29.1171,81.3005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
